A,選択肢テキスト（13文字）
0,ここにテキストを入れる
1,ご先祖様やお仏壇に手向ける
2,家族や友人、恋人とくつろぐ
3,一人の時間をゆっくり楽しむ
4,普段使いできるお線香
5,寺院の様な香木の重厚な香り
6,煙の少ないお線香
7,はなやかな香水の香り
8,心地よいお花の香り
9,薫り高い飲み物の香り
10,上質な時間を過ごせる
11,見た目やバリエーション
12,火を使わないで楽しめる
13,現代の生活に違和感ない香り
14,お香らしい香り
15,漢方薬っぽくない香り
16,香木が立ちすぎなくて良い
17,香木も香木の香りも好き
18,香木の重厚な香りを楽しむ
19,買いやすい価格だとうれしい
20,白檀の香りが立つとうれしい
21,消臭効果もあるとうれしい
22,かすかな残り香
23,自然な良い香り
24,ゴージャスで優雅な香り
25,はなやか
26,ナチュラル
27,あでやか
28,桜茶
29,コーヒー
30,緑茶
31,ぜいたく気分を味わいたい
32,さわやかな空気に包まれたい
33,疲れた自分を癒したい
34,フラワーショップ
35,ギャラリーや美術館
36,インテリアショップ
37,スーツやワンピース
38,和服や浴衣
39,リラックスウェア
